Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2010,3,"3,621",0,"3,621",Santa Ana
2010,4,"3,519",16,"3,535",Santa Ana
2010,5,"3,533",23,"3,556",Santa Ana
2010,6,"3,478",30,"3,508",Santa Ana
2010,7,"3,563",31,"3,594",Santa Ana
2010,8,"3,606",31,"3,637",Santa Ana
2010,9,"3,428",30,"3,458",Santa Ana
2010,10,"3,501",27,"3,528",Santa Ana
2010,11,"3,358",0,"3,358",Santa Ana
2010,12,"3,480",0,"3,480",Santa Ana
2010,TOTAL,"41,848",188,"42,036",Santa Ana
2011,1,"3,431",0,"3,431",Santa Ana
2011,2,"3,101",0,"3,101",Santa Ana
2011,3,"3,588",0,"3,588",Santa Ana
2011,4,"3,419",0,"3,419",Santa Ana
2011,5,"3,428",30,"3,458",Santa Ana
2011,6,"3,388",48,"3,436",Santa Ana
2011,7,"3,440",62,"3,502",Santa Ana
2011,8,"3,512",62,"3,574",Santa Ana
2011,9,"3,277",60,"3,337",Santa Ana
2011,10,"3,350",60,"3,410",Santa Ana
2011,11,"3,229",30,"3,259",Santa Ana
2011,12,"3,312",31,"3,343",Santa Ana
2011,TOTAL,"40,475",383,"40,858",Santa Ana
2012,1,"3,267",30,"3,297",Santa Ana
2012,2,"3,102",29,"3,131",Santa Ana
2012,3,"3,386",31,"3,417",Santa Ana
2012,4,"3,315",32,"3,347",Santa Ana
2012,5,"3,374",62,"3,436",Santa Ana
2012,6,"3,406",115,"3,521",Santa Ana
2012,7,"3,484",125,"3,609",Santa Ana
2012,8,"3,550",124,"3,674",Santa Ana
2012,9,"3,190",120,"3,310",Santa Ana
2012,10,"3,357",162,"3,519",Santa Ana
2012,11,"3,241",150,"3,391",Santa Ana
2012,12,"3,281",163,"3,444",Santa Ana
2012,TOTAL,"39,953","1,143","41,096",Santa Ana
2013,1,"3,331",164,"3,495",Santa Ana
2013,2,"3,024",139,"3,163",Santa Ana
2013,3,"3,379",156,"3,535",Santa Ana
2013,4,"3,332",150,"3,482",Santa Ana
2013,5,"3,431",155,"3,586",Santa Ana
2013,6,"3,349",179,"3,528",Santa Ana
2013,7,"3,441",184,"3,625",Santa Ana
2013,8,"3,447",165,"3,612",Santa Ana
2013,9,"3,217",149,"3,366",Santa Ana
2013,10,"3,355",153,"3,508",Santa Ana
2013,11,"3,069",150,"3,219",Santa Ana
2013,12,"3,147",161,"3,308",Santa Ana
2013,TOTAL,"39,522","1,905","41,427",Santa Ana
2014,1,"3,163",141,"3,304",Santa Ana
